locus_tag	ftype	length_bp	gene	EC_number	COG	product
CAPPHCFD_00682	CDS	417	sufE		COG2166	Cysteine desulfuration protein SufE
CAPPHCFD_00683	CDS	1221	sufS	2.8.1.7	COG0520	Cysteine desulfurase
CAPPHCFD_00684	CDS	1272	sufD		COG0719	Iron-sulfur cluster assembly protein SufD
CAPPHCFD_00685	CDS	747	sufC		COG0396	putative ATP-dependent transporter SufC
CAPPHCFD_00686	CDS	1488	sufB		COG0719	Iron-sulfur cluster assembly protein SufB
CAPPHCFD_00687	CDS	369	sufA		COG0316	Iron-sulfur cluster assembly protein SufA
CAPPHCFD_00688	CDS	189				hypothetical protein
CAPPHCFD_00689	CDS	411	menI	3.1.2.28	COG2050	1,4-dihydroxy-2-naphthoyl-CoA hydrolase
CAPPHCFD_00690	CDS	3057	ydiJ	1.1.99.39	COG0247	D-2-hydroxyglutarate dehydrogenase
CAPPHCFD_00691	CDS	1113	ydiK		COG0628	Putative transport protein YdiK
CAPPHCFD_00692	CDS	357				hypothetical protein
CAPPHCFD_00693	CDS	300	ydiM_1		COG0738	Inner membrane transport protein YdiM
CAPPHCFD_00694	CDS	855	ydiM_2		COG0738	Inner membrane transport protein YdiM
CAPPHCFD_00695	CDS	1266	ydiN		COG2271	Inner membrane transport protein YdiN
CAPPHCFD_00696	CDS	867	ydiB	1.1.1.282	COG0169	Quinate/shikimate dehydrogenase
CAPPHCFD_00697	CDS	759	aroD	4.2.1.10		3-dehydroquinate dehydratase
CAPPHCFD_00698	CDS	1596	ydiF_1	2.8.3.8	COG4670	Acetate CoA-transferase YdiF
CAPPHCFD_00699	CDS	1152	caiA_1	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
CAPPHCFD_00700	CDS	912				hypothetical protein
CAPPHCFD_00701	CDS	765	fixA_1		COG2086	Protein FixA
CAPPHCFD_00702	CDS	939	fixB_1		COG2025	Protein FixB
CAPPHCFD_00703	CDS	1290				hypothetical protein
CAPPHCFD_00704	CDS	294	fixX_1		COG2440	Ferredoxin-like protein FixX
CAPPHCFD_00705	CDS	1647	fadK	6.2.1.-	COG0318	Medium-chain fatty-acid--CoA ligase
CAPPHCFD_00706	CDS	2379	ppsA	2.7.9.2	COG0574	Phosphoenolpyruvate synthase
CAPPHCFD_00707	CDS	834	ppsR	2.7.11.33	COG1806	Phosphoenolpyruvate synthase regulatory protein
CAPPHCFD_00708	CDS	1047	aroH	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive
CAPPHCFD_00709	CDS	192	ydiE		COG4256	putative protein YdiE
CAPPHCFD_00710	CDS	1437	selO	2.7.7.-	COG0397	Protein nucleotidyltransferase SelO
CAPPHCFD_00711	CDS	504	ydiV_1		COG2200	Putative anti-FlhC(2)FlhD(4) factor YdiV
CAPPHCFD_00712	CDS	258	ydiV_2		COG2200	Putative anti-FlhC(2)FlhD(4) factor YdiV
CAPPHCFD_00713	CDS	465	mepS_1	3.4.-.-	COG0791	Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase
CAPPHCFD_00714	CDS	750	btuD	7.6.2.8	COG4138	Vitamin B12 import ATP-binding protein BtuD
CAPPHCFD_00715	CDS	552	btuE	1.11.1.24	COG0386	Thioredoxin/glutathione peroxidase BtuE
CAPPHCFD_00716	CDS	981	btuC		COG4139	Vitamin B12 import system permease protein BtuC
CAPPHCFD_00717	CDS	300	ihfA		COG0776	Integration host factor subunit alpha
CAPPHCFD_00718	CDS	2388	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
CAPPHCFD_00719	CDS	984	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
CAPPHCFD_00720	CDS	357	rplT		COG0292	Large ribosomal subunit protein bL20
CAPPHCFD_00721	CDS	198	rpmI		COG0291	Large ribosomal subunit protein bL35
CAPPHCFD_00722	CDS	435	infC		COG0290	Translation initiation factor IF-3
CAPPHCFD_00723	CDS	1929	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
CAPPHCFD_00724	CDS	474				hypothetical protein
CAPPHCFD_00725	CDS	807	ospD3	3.4.-.-		Effector protease OspD3
CAPPHCFD_00726	CDS	108	yniD			putative protein YniD
CAPPHCFD_00727	CDS	759				hypothetical protein
CAPPHCFD_00728	CDS	930	pfkB	2.7.1.11	COG1105	ATP-dependent 6-phosphofructokinase isozyme 2
CAPPHCFD_00729	CDS	291				hypothetical protein
CAPPHCFD_00730	CDS	861		2.7.1.-	COG3001	putative ketoamine kinase
CAPPHCFD_00731	CDS	537				hypothetical protein
CAPPHCFD_00732	CDS	669	hxpB	3.1.3.68	COG0637	Hexitol phosphatase B
CAPPHCFD_00733	CDS	591	ydjM		COG1988	Inner membrane protein YdjM
CAPPHCFD_00734	CDS	1392	tcyP		COG1823	L-cystine transporter TcyP
CAPPHCFD_00735	CDS	783				hypothetical protein
CAPPHCFD_00736	CDS	264	cedA			Cell division activator CedA
CAPPHCFD_00737	CDS	2262	katE	1.11.1.6	COG0753	Catalase HPII
CAPPHCFD_00738	CDS	750	chbG	3.5.1.105	COG3394	Chitooligosaccharide deacetylase ChbG
CAPPHCFD_00739	CDS	1353	chbF	3.2.1.86	COG1486	6-phospho-beta-glucosidase
CAPPHCFD_00740	CDS	840	chbR		COG1917	HTH-type transcriptional regulator ChbR
CAPPHCFD_00741	CDS	351	chbA		COG1447	PTS system N,N'-diacetylchitobiose-specific EIIA component
CAPPHCFD_00742	CDS	1359	chbC		COG1455	PTS system N,N'-diacetylchitobiose-specific EIIC component
CAPPHCFD_00743	CDS	321	chbB	2.7.1.196	COG1440	PTS system N,N'-diacetylchitobiose-specific EIIB component
CAPPHCFD_00744	CDS	339	osmE		COG2913	Osmotically-inducible putative lipoprotein OsmE
CAPPHCFD_00745	CDS	828	nadE	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
CAPPHCFD_00746	CDS	888	cho	3.1.25.-	COG0322	Excinuclease cho
CAPPHCFD_00747	CDS	576	ves		COG3758	Protein Ves
CAPPHCFD_00748	CDS	486	spy		COG3678	Periplasmic chaperone Spy
CAPPHCFD_00749	CDS	969	astE	3.5.1.96	COG2988	Succinylglutamate desuccinylase
CAPPHCFD_00750	CDS	1344	astB	3.5.3.23	COG3724	N-succinylarginine dihydrolase
CAPPHCFD_00751	CDS	1479	astD	1.2.1.71	COG1012	N-succinylglutamate 5-semialdehyde dehydrogenase
CAPPHCFD_00752	CDS	1035	astA	2.3.1.109	COG3138	Arginine N-succinyltransferase
CAPPHCFD_00753	CDS	1221	astC	2.6.1.81	COG4992	Succinylornithine transaminase
CAPPHCFD_00754	CDS	807	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
CAPPHCFD_00755	CDS	711	ydjZ_1		COG0398	TVP38/TMEM64 family inner membrane protein YdjZ
CAPPHCFD_00756	CDS	618				hypothetical protein
CAPPHCFD_00757	CDS	708	ydjZ_2		COG0398	TVP38/TMEM64 family inner membrane protein YdjZ
CAPPHCFD_00758	CDS	549				hypothetical protein
CAPPHCFD_00759	CDS	1167	ynjB		COG4134	Protein YnjB
CAPPHCFD_00760	CDS	1536	ynjC		COG4135	Inner membrane ABC transporter permease protein YnjC
CAPPHCFD_00761	CDS	654	fbpC2	7.2.2.7	COG3842	Fe(3+) ions import ATP-binding protein FbpC 2
CAPPHCFD_00762	CDS	1308	ynjE	2.8.1.1	COG2897	Thiosulfate sulfurtransferase YnjE
CAPPHCFD_00763	CDS	621	ynjF		COG0558	Inner membrane protein YnjF
CAPPHCFD_00764	CDS	408	nudG	3.6.1.65	COG0494	CTP pyrophosphohydrolase
CAPPHCFD_00765	CDS	273				hypothetical protein
CAPPHCFD_00766	CDS	1344	gdhA	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
CAPPHCFD_00767	CDS	1041	ynjI			Inner membrane protein YnjI
CAPPHCFD_00768	CDS	1962	topB	5.6.2.1	COG0550	DNA topoisomerase 3
CAPPHCFD_00769	CDS	1044	selD	2.7.9.3	COG0709	Selenide, water dikinase
CAPPHCFD_00770	CDS	552	ydjA	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YdjA
CAPPHCFD_00771	CDS	1857	sppA	3.4.21.-	COG0616	Protease 4
CAPPHCFD_00772	CDS	1017	ansA	3.5.1.1	COG0252	L-asparaginase 1
CAPPHCFD_00773	CDS	642	pncA	3.5.1.19	COG1335	Nicotinamidase
CAPPHCFD_00774	CDS	1359	ydjE_1		COG2814	Inner membrane metabolite transport protein YdjE
CAPPHCFD_00775	CDS	759	ydjF_1		COG1349	putative HTH-type transcriptional regulator YdjF
CAPPHCFD_00776	CDS	981	ydjG	1.1.1.-	COG0667	NADH-specific methylglyoxal reductase
CAPPHCFD_00777	CDS	948	ydjH	2.7.1.-	COG0524	putative sugar kinase YdjH
CAPPHCFD_00778	CDS	837	ydjI		COG0191	putative protein YdjI
CAPPHCFD_00779	CDS	1044	ydjJ	1.-.-.-	COG1063	putative zinc-type alcohol dehydrogenase-like protein YdjJ
CAPPHCFD_00780	CDS	1380	ydjE_2		COG2814	Inner membrane metabolite transport protein YdjE
CAPPHCFD_00781	CDS	1077		1.1.1.301		D-arabitol-phosphate dehydrogenase
CAPPHCFD_00782	CDS	273				hypothetical protein
CAPPHCFD_00783	CDS	414	msrB	1.8.4.12	COG0229	Peptide methionine sulfoxide reductase MsrB
CAPPHCFD_00784	CDS	996	gapA	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase A
CAPPHCFD_00785	CDS	885	yeaD	5.1.3.15	COG0676	Putative glucose-6-phosphate 1-epimerase
CAPPHCFD_00786	CDS	855	yeaE	1.1.1.-	COG0656	Methylglyoxal reductase YeaE
CAPPHCFD_00787	CDS	747	mipA_1		COG3713	MltA-interacting protein
CAPPHCFD_00788	CDS	1806	yeaG	2.7.11.1	COG2766	Serine/threonine kinase YeaG
CAPPHCFD_00789	CDS	1284				hypothetical protein
CAPPHCFD_00790	CDS	1476	cdgI	2.7.7.65	COG2199	putative diguanylate cyclase CdgI
CAPPHCFD_00791	CDS	1491	dgcJ	2.7.7.65	COG2199	putative diguanylate cyclase DgcJ
CAPPHCFD_00792	CDS	504	proXp-y	3.1.1.-	COG2606	Multifunctional Ser/Thr-tRNA deacylase ProXp-y
CAPPHCFD_00793	CDS	447				hypothetical protein
CAPPHCFD_00794	CDS	819	nimR		COG2207	HTH-type transcriptional regulator NimR
CAPPHCFD_00795	CDS	1182	nimT		COG2807	2-nitroimidazole transporter
CAPPHCFD_00796	CDS	348				hypothetical protein
CAPPHCFD_00797	CDS	255				hypothetical protein
CAPPHCFD_00798	CDS	1026	dgcP	2.7.7.65	COG2199	Diguanylate cyclase DgcP
CAPPHCFD_00799	CDS	249				hypothetical protein
CAPPHCFD_00800	CDS	183	yoaG			Protein YoaG
CAPPHCFD_00801	CDS	225	yeaR		COG3615	putative protein YeaR
CAPPHCFD_00802	tRNA	76				tRNA-Ala(ggc)
CAPPHCFD_00803	tRNA	76				tRNA-Ala(ggc)
CAPPHCFD_00804	CDS	360				hypothetical protein
CAPPHCFD_00805	CDS	372				hypothetical protein
CAPPHCFD_00806	CDS	1416	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
CAPPHCFD_00807	tRNA	76				tRNA-Val(tac)
CAPPHCFD_00808	tRNA	76				tRNA-Val(tac)
CAPPHCFD_00809	tRNA	76				tRNA-Lys(ttt)
CAPPHCFD_00810	CDS	342				hypothetical protein
CAPPHCFD_00811	CDS	927	cynR_1		COG0583	HTH-type transcriptional regulator CynR
CAPPHCFD_00812	CDS	999				hypothetical protein
CAPPHCFD_00813	CDS	219				hypothetical protein
CAPPHCFD_00814	CDS	2016	ligA	6.5.1.2	COG0272	DNA ligase
CAPPHCFD_00815	CDS	987	zipA		COG3115	Cell division protein ZipA
CAPPHCFD_00816	CDS	762	cysZ		COG2981	Sulfate transporter CysZ
CAPPHCFD_00817	CDS	972	cysK	2.5.1.47	COG0031	Cysteine synthase A
CAPPHCFD_00818	CDS	258	ptsH		COG1925	Phosphocarrier protein HPr
CAPPHCFD_00819	CDS	1728	ptsI			phosphoenolpyruvate--protein phosphotransferase PtsI
CAPPHCFD_00820	CDS	510	crr		COG2190	PTS system glucose-specific EIIA component
CAPPHCFD_00821	CDS	852	pdxK	2.7.1.35	COG2240	Pyridoxine/pyridoxal/pyridoxamine kinase
CAPPHCFD_00822	CDS	375				hypothetical protein
CAPPHCFD_00823	CDS	735				hypothetical protein
CAPPHCFD_00824	CDS	912	cysM	2.5.1.47	COG0031	Cysteine synthase B
CAPPHCFD_00825	CDS	1098	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
CAPPHCFD_00826	CDS	876	cysW		COG4208	Sulfate transport system permease protein CysW
CAPPHCFD_00827	CDS	834	cysT		COG0555	Sulfate transport system permease protein CysT
CAPPHCFD_00828	CDS	1017	cysP		COG4150	Thiosulfate-binding protein
CAPPHCFD_00829	CDS	792	ucpA	1.-.-.-	COG1028	Oxidoreductase UcpA
CAPPHCFD_00830	CDS	858	murR_1		COG1737	HTH-type transcriptional regulator MurR
CAPPHCFD_00831	CDS	897	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
CAPPHCFD_00832	CDS	1425	murP		COG1263	PTS system N-acetylmuramic acid-specific EIIBC component
CAPPHCFD_00833	CDS	900	yfeX	1.11.1.-	COG2837	Dye-decolorizing peroxidase YfeX
CAPPHCFD_00834	CDS	576	yfeY			putative protein YfeY
CAPPHCFD_00835	CDS	450	yfeZ			Inner membrane protein YfeZ
CAPPHCFD_00836	CDS	426	ypeA	2.3.1.-		Acetyltransferase YpeA
CAPPHCFD_00837	CDS	870	amiA	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiA
CAPPHCFD_00838	CDS	900	hemF	1.3.3.3	COG0408	Oxygen-dependent coproporphyrinogen-III oxidase
CAPPHCFD_00839	CDS	1053	eutR			HTH-type DNA-binding transcriptional activator EutR
CAPPHCFD_00840	CDS	501	eutK		COG4577	Bacterial microcompartment shell protein EutK
CAPPHCFD_00841	CDS	660	eutL		COG4816	Bacterial microcompartment shell protein EutL
CAPPHCFD_00842	CDS	888	eutC	4.3.1.7	COG4302	Ethanolamine ammonia-lyase small subunit
CAPPHCFD_00843	CDS	1362	eutB	4.3.1.7	COG4303	Ethanolamine ammonia-lyase large subunit
CAPPHCFD_00844	CDS	1404	eutA		COG4819	Ethanolamine ammonia-lyase reactivase EutA
CAPPHCFD_00845	CDS	1227	eutH			putative ethanolamine permease EutH
CAPPHCFD_00846	CDS	1188	eutG	1.1.1.1		putative alcohol dehydrogenase EutG
CAPPHCFD_00847	CDS	837	eutJ			Ethanolamine utilization protein EutJ
CAPPHCFD_00848	CDS	1404	eutE	1.2.1.10		Acetaldehyde dehydrogenase (acetylating) EutE
CAPPHCFD_00849	CDS	288	eutN		COG4576	Bacterial microcompartment shell vertex protein EutN
CAPPHCFD_00850	CDS	294	eutM		COG4577	Bacterial microcompartment shell protein EutM
CAPPHCFD_00851	CDS	1017	eutD	2.3.1.8	COG0280	Phosphate acetyltransferase EutD
CAPPHCFD_00852	CDS	810	eutT	2.5.1.154		Corrinoid adenosyltransferase EutT
CAPPHCFD_00853	CDS	702	eutQ	2.7.2.1	COG4766	Acetate kinase EutQ
CAPPHCFD_00854	CDS	480	eutP	2.7.2.1		putative acetate kinase EutP
CAPPHCFD_00855	CDS	336	eutS		COG4810	Bacterial microcompartment shell protein EutS
CAPPHCFD_00856	CDS	2280	maeB	1.1.1.40	COG0280	NADP-dependent malic enzyme
CAPPHCFD_00857	CDS	951	talB_1	2.2.1.2	COG0176	Transaldolase B
CAPPHCFD_00858	CDS	2004	tktB	2.2.1.1	COG0021	Transketolase 2
CAPPHCFD_00859	CDS	1044				hypothetical protein
CAPPHCFD_00860	CDS	576	nudK	3.6.1.-	COG0494	GDP-mannose pyrophosphatase
CAPPHCFD_00861	CDS	1980	aegA_1		COG0493	Putative oxidoreductase AegA
CAPPHCFD_00862	CDS	1701	narQ	2.7.13.3	COG3850	Nitrate/nitrite sensor protein NarQ
CAPPHCFD_00863	CDS	3114	acrB_1			multidrug efflux RND transporter permease subunit AcrB
CAPPHCFD_00864	CDS	357	yffB		COG1393	Protein YffB
CAPPHCFD_00865	CDS	1128	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
CAPPHCFD_00866	CDS	201				hypothetical protein
CAPPHCFD_00867	CDS	699				hypothetical protein
CAPPHCFD_00868	CDS	2016	tmcA	2.3.1.193	COG1444	tRNA(Met) cytidine acetyltransferase TmcA
CAPPHCFD_00869	CDS	864			COG2321	putative protein
CAPPHCFD_00870	CDS	714	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
CAPPHCFD_00871	CDS	231				hypothetical protein
CAPPHCFD_00872	CDS	1035	bamC		COG3317	Outer membrane protein assembly factor BamC
CAPPHCFD_00873	CDS	879	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
CAPPHCFD_00874	CDS	573	gcvR		COG2716	Glycine cleavage system transcriptional repressor
CAPPHCFD_00875	CDS	471	bcp	1.11.1.24	COG1225	Peroxiredoxin Bcp
CAPPHCFD_00876	CDS	618	hyfA	1.-.-.-	COG1142	Hydrogenase-4 component A
CAPPHCFD_00877	CDS	2019	hyfB	1.-.-.-	COG0651	Hydrogenase-4 component B
CAPPHCFD_00878	CDS	720	hyfC	1.-.-.-	COG0650	Hydrogenase-4 component C
CAPPHCFD_00879	CDS	111				hypothetical protein
CAPPHCFD_00880	CDS	1350				hypothetical protein
CAPPHCFD_00881	CDS	651	hyfE	1.-.-.-	COG4237	Hydrogenase-4 component E
CAPPHCFD_00882	CDS	1581				hypothetical protein
CAPPHCFD_00883	CDS	1668	hyfG	1.-.-.-	COG3261	Hydrogenase-4 component G
CAPPHCFD_00884	CDS	540	hycF_1		COG1143	Formate hydrogenlyase subunit 6
CAPPHCFD_00885	CDS	759	hycG_1		COG3260	Formate hydrogenlyase subunit 7
CAPPHCFD_00886	CDS	414				hypothetical protein
CAPPHCFD_00887	CDS	2013	hyfR		COG3604	DNA-binding transcriptional activator HyfR
CAPPHCFD_00888	CDS	849	focB		COG2116	Formate channel FocB
CAPPHCFD_00889	CDS	1062	yhhT_1		COG0628	Putative transport protein YhhT
CAPPHCFD_00890	CDS	1464	bepA	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
CAPPHCFD_00891	CDS	360	yfgD		COG1393	putative protein YfgD
CAPPHCFD_00892	CDS	747	hda		COG0593	DnaA regulatory inactivator Hda
CAPPHCFD_00893	CDS	1290	uraA		COG2233	Uracil permease
CAPPHCFD_00894	CDS	627	upp	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
CAPPHCFD_00895	CDS	1038	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
CAPPHCFD_00896	CDS	639	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
CAPPHCFD_00897	CDS	2067	ppk	2.7.4.1	COG0855	Polyphosphate kinase
CAPPHCFD_00898	CDS	1542	ppx	3.6.1.11	COG0248	Exopolyphosphatase
CAPPHCFD_00899	CDS	2244	pdeF	3.1.4.52	COG2200	Cyclic di-GMP phosphodiesterase PdeF
CAPPHCFD_00900	CDS	153				hypothetical protein
CAPPHCFD_00901	CDS	174	yfgG			Protein YfgG
CAPPHCFD_00902	CDS	516				hypothetical protein
CAPPHCFD_00903	CDS	540				hypothetical protein
CAPPHCFD_00904	CDS	1578	guaA	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
CAPPHCFD_00905	CDS	1467	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
CAPPHCFD_00906	CDS	1371	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
CAPPHCFD_00907	CDS	216	yfgJ		COG1645	putative protein YfgJ
CAPPHCFD_00908	CDS	1473	der		COG1160	GTPase Der
CAPPHCFD_00909	CDS	1179	bamB		COG1520	Outer membrane protein assembly factor BamB
CAPPHCFD_00910	CDS	621	yfgM		COG2976	Ancillary SecYEG translocon subunit
CAPPHCFD_00911	CDS	1275	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
CAPPHCFD_00912	CDS	1119	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
CAPPHCFD_00913	CDS	1014	rodZ		COG1426	Cytoskeleton protein RodZ
CAPPHCFD_00914	CDS	1155	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
CAPPHCFD_00915	CDS	432	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
CAPPHCFD_00916	CDS	2274	pbpC		COG4953	Penicillin-binding protein 1C
CAPPHCFD_00917	CDS	4962	yfhM		COG2373	Alpha-2-macroglobulin
CAPPHCFD_00918	CDS	846	sseA	2.8.1.2	COG2897	3-mercaptopyruvate sulfurtransferase
CAPPHCFD_00919	CDS	777				hypothetical protein
CAPPHCFD_00920	CDS	1284	pepB	3.4.11.23	COG0260	Peptidase B
CAPPHCFD_00921	CDS	201	iscX		COG2975	Protein IscX
CAPPHCFD_00922	CDS	336	fdx		COG0633	2Fe-2S ferredoxin
CAPPHCFD_00923	CDS	1851	hscA		COG0443	Chaperone protein HscA
CAPPHCFD_00924	CDS	516	hscB		COG1076	Co-chaperone protein HscB
CAPPHCFD_00925	CDS	324	iscA		COG0316	Iron-binding protein IscA
CAPPHCFD_00926	CDS	387	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
CAPPHCFD_00927	CDS	1215	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
CAPPHCFD_00928	CDS	489	iscR		COG1959	HTH-type transcriptional regulator IscR
CAPPHCFD_00929	CDS	741	trmJ	2.1.1.200	COG0565	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ
CAPPHCFD_00930	CDS	804	suhB	3.1.3.25	COG0483	Nus factor SuhB
CAPPHCFD_00931	CDS	855			COG1073	putative protein
CAPPHCFD_00932	CDS	1281				hypothetical protein
CAPPHCFD_00933	CDS	1140	hcaT		COG2814	putative 3-phenylpropionic acid transporter
CAPPHCFD_00934	CDS	891	hcaR_2		COG0583	Hca operon transcriptional activator HcaR
CAPPHCFD_00935	CDS	1362	hcaE	1.14.12.19	COG4638	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha
CAPPHCFD_00936	CDS	519	hcaF	1.14.12.19	COG5517	3-phenylpropionate/cinnamic acid dioxygenase subunit beta
CAPPHCFD_00937	CDS	321	hcaC		COG2146	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit
CAPPHCFD_00938	CDS	813	hcaB	1.3.1.87	COG1028	3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
CAPPHCFD_00939	CDS	1203	hcaD	1.18.1.3	COG0446	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin--NAD(+) reductase component
CAPPHCFD_00940	CDS	423	yphA		COG2259	Inner membrane protein YphA
CAPPHCFD_00941	CDS	873	yphB		COG2017	putative protein YphB
CAPPHCFD_00942	CDS	1062	tdh_1	1.1.1.103		L-threonine 3-dehydrogenase
CAPPHCFD_00943	CDS	999	rbsC_1		COG1172	Ribose import permease protein RbsC
CAPPHCFD_00944	CDS	1512	mglA_1	7.5.2.11		Galactose/methyl galactoside import ATP-binding protein MglA
CAPPHCFD_00945	CDS	984	yphF		COG1879	ABC transporter periplasmic-binding protein YphF
CAPPHCFD_00946	CDS	3282				hypothetical protein
CAPPHCFD_00947	CDS	1194	mlc_2		COG1940	DNA-binding transcriptional repressor Mlc
CAPPHCFD_00948	CDS	1254	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
CAPPHCFD_00949	CDS	1191	hmp	1.14.12.17	COG1017	Flavohemoprotein
CAPPHCFD_00950	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II 1
CAPPHCFD_00951	CDS	1335	glrR		COG2204	Transcriptional regulatory protein GlrR
CAPPHCFD_00952	CDS	714	qseG		COG3170	Quorum-sensing regulator protein G
CAPPHCFD_00953	CDS	1383	qseE	2.7.13.3	COG2205	Sensor histidine kinase QseE
CAPPHCFD_00954	CDS	3888	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
CAPPHCFD_00955	CDS	1533	mltF	4.2.2.-	COG4623	Membrane-bound lytic murein transglycosylase F
CAPPHCFD_00956	CDS	276			COG1662	IS1 family transposase IS1A
CAPPHCFD_00957	CDS	378			COG1662	IS1 family transposase IS1R
CAPPHCFD_00958	CDS	504	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
CAPPHCFD_00959	CDS	636	pgpC	3.1.3.27	COG0560	Phosphatidylglycerophosphatase C
CAPPHCFD_00960	CDS	849	murR_2		COG1737	HTH-type transcriptional regulator MurR
CAPPHCFD_00961	CDS	261	yfhL		COG1145	Ferredoxin YfhL
CAPPHCFD_00962	CDS	381	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
CAPPHCFD_00963	CDS	732	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
CAPPHCFD_00964	CDS	729	recO		COG1381	DNA repair protein RecO
CAPPHCFD_00965	CDS	906	era		COG1159	GTPase Era
CAPPHCFD_00966	CDS	681	rnc	3.1.26.3	COG0571	Ribonuclease 3
CAPPHCFD_00967	CDS	975	lepB	3.4.21.89	COG0681	Signal peptidase I
CAPPHCFD_00968	CDS	1800	lepA	3.6.5.-	COG0481	Elongation factor 4
CAPPHCFD_00969	CDS	480	rseC		COG3086	Protein RseC
CAPPHCFD_00970	CDS	957	rseB		COG3026	Sigma-E factor regulatory protein RseB
CAPPHCFD_00971	CDS	651	rseA		COG3073	Anti-sigma-E factor RseA
CAPPHCFD_00972	CDS	576	rpoE		COG1595	ECF RNA polymerase sigma-E factor
CAPPHCFD_00973	CDS	1623	nadB	1.4.3.16	COG0029	L-aspartate oxidase
CAPPHCFD_00974	CDS	738	yfiC	2.1.1.223	COG4123	tRNA1(Val) (adenine(37)-N6)-methyltransferase
CAPPHCFD_00975	CDS	1335	srmB	3.6.4.13	COG0513	ATP-dependent RNA helicase SrmB
CAPPHCFD_00976	CDS	882	cmpR		COG0583	HTH-type transcriptional activator CmpR
CAPPHCFD_00977	CDS	588	eamB		COG1280	Cysteine/O-acetylserine efflux protein
CAPPHCFD_00978	CDS	384	grcA		COG3445	Autonomous glycyl radical cofactor
CAPPHCFD_00979	CDS	690	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
CAPPHCFD_00980	CDS	1038	yfiF	2.1.1.-	COG0566	putative tRNA/rRNA methyltransferase YfiF
CAPPHCFD_00981	CDS	420	trxC	1.8.1.8	COG3118	Thioredoxin 2
CAPPHCFD_00982	CDS	699	tapT	2.5.1.25	COG3148	tRNA-uridine aminocarboxypropyltransferase
CAPPHCFD_00983	CDS	2661	patZ	2.3.1.-	COG0045	Peptidyl-lysine N-acetyltransferase PatZ
CAPPHCFD_00984	CDS	1356	pssA	2.7.8.8	COG1502	CDP-diacylglycerol--serine O-phosphatidyltransferase PssA
CAPPHCFD_00985	CDS	273				hypothetical protein
CAPPHCFD_00986	CDS	1299	kgtP		COG0477	Alpha-ketoglutarate permease
CAPPHCFD_00987	rRNA	111				5S ribosomal RNA
CAPPHCFD_00988	CDS	1647	mqo	1.1.5.4	COG0579	Malate:quinone oxidoreductase
CAPPHCFD_00989	CDS	1644	yojI		COG4615	ABC transporter ATP-binding/permease protein YojI
